grupo, algorithm, heuristic, domain, instance, cost, h0, generated, time, gen_per_sec
X, WIDA*, manhattan, 1.500000, 15Puzzle, "9 0 4 10 1 14 15 3 12 6 5 7 11 13 8 2 ", 49, 52, 193395, 0.009404, 2.05652e+07
X, WIDA*, manhattan, 1.500000, 15Puzzle, "12 6 0 4 7 3 15 1 13 9 8 11 2 14 5 10 ", 54, 54, 304654, 0.015369, 1.98226e+07
X, WIDA*, manhattan, 1.500000, 15Puzzle, "8 1 7 12 11 0 10 5 9 15 6 13 14 2 3 4 ", 62, 60, 3297128, 0.157234, 2.09696e+07
X, WIDA*, manhattan, 1.500000, 15Puzzle, "4 5 7 2 9 14 12 13 0 3 6 11 8 1 15 10 ", 48, 45, 154090, 0.013525, 1.13930e+07
X, WIDA*, manhattan, 1.500000, 15Puzzle, "8 13 10 9 11 3 15 6 0 1 2 14 12 5 4 7 ", 54, 54, 484094, 0.030060, 1.61043e+07
X, WIDA*, manhattan, 1.500000, 15Puzzle, "11 5 1 14 4 12 10 0 2 7 13 3 9 15 6 8 ", 56, 54, 1580678, 0.083422, 1.89480e+07
X, WIDA*, manhattan, 1.500000, 15Puzzle, "11 15 14 13 1 9 10 4 3 6 2 12 7 5 8 0 ", 70, 72, 2639, 0.000155, 1.70258e+07
X, WIDA*, manhattan, 1.500000, 15Puzzle, "3 14 9 7 12 15 0 4 1 8 5 6 11 10 2 13 ", 57, 58, 235034, 0.012358, 1.90188e+07
X, WIDA*, manhattan, 1.500000, 15Puzzle, "8 4 6 1 14 12 2 15 13 10 9 5 3 7 0 11 ", 51, 52, 293073, 0.015411, 1.90171e+07
X, WIDA*, manhattan, 1.500000, 15Puzzle, "12 9 0 6 8 3 5 14 2 4 11 7 10 1 15 13 ", 50, 48, 1722973, 0.083947, 2.05245e+07
X, WIDA*, manhattan, 1.500000, 15Puzzle, "6 10 1 14 15 8 3 5 13 0 2 7 4 9 11 12 ", 47, 52, 51701, 0.002843, 1.81854e+07
X, WIDA*, manhattan, 1.500000, 15Puzzle, "8 11 4 6 7 3 10 9 2 12 15 13 0 1 5 14 ", 55, 58, 38885, 0.002611, 1.48928e+07
X, WIDA*, manhattan, 1.500000, 15Puzzle, "10 0 2 4 5 1 6 12 11 13 9 7 15 3 14 8 ", 59, 49, 2580249, 0.127851, 2.01817e+07
X, WIDA*, manhattan, 1.500000, 15Puzzle, "10 2 8 4 15 0 1 14 11 13 3 6 9 7 5 12 ", 60, 66, 268515, 0.017465, 1.53745e+07
X, WIDA*, manhattan, 1.500000, 15Puzzle, "12 5 13 11 2 10 0 9 7 8 4 3 14 6 15 1 ", 57, 58, 1014039, 0.051735, 1.96006e+07
X, WIDA*, manhattan, 1.500000, 15Puzzle, "10 8 0 12 3 7 6 2 1 14 4 11 15 13 9 5 ", 60, 57, 3500358, 0.174177, 2.00966e+07
X, WIDA*, manhattan, 1.500000, 15Puzzle, "13 8 14 3 9 1 0 7 15 5 4 10 12 2 6 11 ", 43, 43, 127435, 0.006303, 2.02182e+07
X, WIDA*, manhattan, 1.500000, 15Puzzle, "14 9 12 13 15 4 8 10 0 2 1 7 3 11 5 6 ", 72, 75, 458276, 0.022309, 2.05422e+07
X, WIDA*, manhattan, 1.500000, 15Puzzle, "12 11 0 8 10 2 13 15 5 4 7 3 6 9 14 1 ", 58, 60, 637521, 0.031044, 2.05360e+07
X, WIDA*, manhattan, 1.500000, 15Puzzle, "5 11 6 9 4 13 12 0 8 2 15 10 1 7 3 14 ", 52, 54, 51556, 0.004606, 1.11932e+07
X, WIDA*, manhattan, 1.500000, 15Puzzle, "5 0 15 8 4 6 1 14 10 11 3 9 7 12 2 13 ", 51, 55, 325974, 0.022081, 1.47626e+07
X, WIDA*, manhattan, 1.500000, 15Puzzle, "3 15 2 5 11 6 4 7 12 9 1 0 13 14 10 8 ", 55, 43, 18907872, 0.930659, 2.03166e+07
X, WIDA*, manhattan, 1.500000, 15Puzzle, "11 14 13 1 2 3 12 4 15 7 9 5 10 6 8 0 ", 70, 72, 221347, 0.013887, 1.59392e+07
X, WIDA*, manhattan, 1.500000, 15Puzzle, "6 13 3 2 11 9 5 10 1 7 12 14 8 4 0 15 ", 47, 46, 530214, 0.028398, 1.86708e+07
X, WIDA*, manhattan, 1.500000, 15Puzzle, "15 14 6 7 10 1 0 11 12 8 4 9 2 5 13 3 ", 57, 52, 13255606, 0.704375, 1.88190e+07
X, WIDA*, manhattan, 1.500000, 15Puzzle, "4 6 12 0 14 2 9 13 11 8 3 15 7 10 1 5 ", 61, 64, 281622, 0.015070, 1.86876e+07
X, WIDA*, manhattan, 1.500000, 15Puzzle, "5 2 14 0 7 8 6 3 11 12 13 15 4 10 9 1 ", 53, 46, 8008449, 0.395432, 2.02524e+07
X, WIDA*, manhattan, 1.500000, 15Puzzle, "8 10 9 11 14 1 7 15 13 4 0 12 6 2 5 3 ", 58, 60, 52838009, 2.638872, 2.00230e+07
X, WIDA*, manhattan, 1.500000, 15Puzzle, "7 8 3 2 10 12 4 6 11 13 5 15 0 1 9 14 ", 49, 46, 413664, 0.023890, 1.73154e+07
X, WIDA*, manhattan, 1.500000, 15Puzzle, "11 6 14 12 3 5 1 15 8 0 10 13 9 7 4 2 ", 65, 61, 2745245, 0.135137, 2.03145e+07
X, WIDA*, manhattan, 1.500000, 15Puzzle, "7 1 2 4 8 3 6 11 10 15 0 5 14 12 13 9 ", 50, 42, 6990181, 0.344016, 2.03193e+07
X, WIDA*, manhattan, 1.500000, 15Puzzle, "7 3 1 13 12 10 5 2 8 0 6 11 14 15 4 9 ", 53, 46, 2539589, 0.129043, 1.96802e+07
X, WIDA*, manhattan, 1.500000, 15Puzzle, "6 0 5 15 1 14 4 9 2 13 8 10 11 12 7 3 ", 57, 55, 2746433, 0.138578, 1.98187e+07
