grupo, algorithm, heuristic, domain, instance, cost, h0, generated, time, gen_per_sec
X, WIDA*, PDB5+5+5, 1.500000, 15puzzle, "14 3 5 15 11 6 13 9 0 10 2 12 4 1 7 8 ", 62, 66, 431477, 0.067701, 6.37327e+06
X, WIDA*, PDB5+5+5, 1.500000, 15puzzle, "8 1 7 12 11 0 10 5 9 15 6 13 14 2 3 4 ", 62, 63, 46130, 0.007919, 5.82523e+06
X, WIDA*, PDB5+5+5, 1.500000, 15puzzle, "9 0 4 10 1 14 15 3 12 6 5 7 11 13 8 2 ", 51, 52, 165391, 0.025402, 6.51094e+06
X, WIDA*, PDB5+5+5, 1.500000, 15puzzle, "12 6 0 4 7 3 15 1 13 9 8 11 2 14 5 10 ", 54, 54, 487817, 0.075975, 6.42076e+06
X, WIDA*, PDB5+5+5, 1.500000, 15puzzle, "8 13 10 9 11 3 15 6 0 1 2 14 12 5 4 7 ", 58, 57, 45520, 0.007428, 6.12816e+06
X, WIDA*, PDB5+5+5, 1.500000, 15puzzle, "4 5 7 2 9 14 12 13 0 3 6 11 8 1 15 10 ", 48, 48, 43146, 0.006854, 6.29501e+06
X, WIDA*, PDB5+5+5, 1.500000, 15puzzle, "11 5 1 14 4 12 10 0 2 7 13 3 9 15 6 8 ", 56, 57, 366162, 0.056431, 6.48867e+06
X, WIDA*, PDB5+5+5, 1.500000, 15puzzle, "11 15 14 13 1 9 10 4 3 6 2 12 7 5 8 0 ", 70, 72, 56968, 0.010225, 5.57144e+06
X, WIDA*, PDB5+5+5, 1.500000, 15puzzle, "3 14 9 7 12 15 0 4 1 8 5 6 11 10 2 13 ", 57, 58, 65747, 0.010365, 6.34317e+06
X, WIDA*, PDB5+5+5, 1.500000, 15puzzle, "12 9 0 6 8 3 5 14 2 4 11 7 10 1 15 13 ", 52, 51, 348408, 0.052045, 6.69436e+06
X, WIDA*, PDB5+5+5, 1.500000, 15puzzle, "8 4 6 1 14 12 2 15 13 10 9 5 3 7 0 11 ", 49, 52, 10915, 0.002493, 4.37826e+06
X, WIDA*, PDB5+5+5, 1.500000, 15puzzle, "8 11 4 6 7 3 10 9 2 12 15 13 0 1 5 14 ", 59, 61, 12533, 0.001984, 6.31704e+06
X, WIDA*, PDB5+5+5, 1.500000, 15puzzle, "6 10 1 14 15 8 3 5 13 0 2 7 4 9 11 12 ", 55, 55, 53180, 0.008510, 6.24912e+06
X, WIDA*, PDB5+5+5, 1.500000, 15puzzle, "12 5 13 11 2 10 0 9 7 8 4 3 14 6 15 1 ", 59, 61, 61617, 0.009972, 6.17900e+06
X, WIDA*, PDB5+5+5, 1.500000, 15puzzle, "10 0 2 4 5 1 6 12 11 13 9 7 15 3 14 8 ", 59, 58, 102481, 0.017209, 5.95508e+06
X, WIDA*, PDB5+5+5, 1.500000, 15puzzle, "10 2 8 4 15 0 1 14 11 13 3 6 9 7 5 12 ", 62, 66, 109001, 0.016553, 6.58497e+06
X, WIDA*, PDB5+5+5, 1.500000, 15puzzle, "12 11 0 8 10 2 13 15 5 4 7 3 6 9 14 1 ", 58, 63, 32407, 0.005045, 6.42359e+06
