grupo, algorithm, heuristic, domain, instance, cost, h0, generated, time, gen_per_sec
X, WIDA*, PDB5+5+5, 2.000000, 15puzzle, "1 6 12 14 3 2 15 8 4 5 13 9 0 7 11 10 ", 77, 78, 314556, 0.044507, 7.06756e+06
X, WIDA*, PDB5+5+5, 2.000000, 15puzzle, "8 1 7 12 11 0 10 5 9 15 6 13 14 2 3 4 ", 78, 84, 2061, 0.000445, 4.63146e+06
X, WIDA*, PDB5+5+5, 2.000000, 15puzzle, "12 6 0 4 7 3 15 1 13 9 8 11 2 14 5 10 ", 60, 72, 9656, 0.002048, 4.71484e+06
X, WIDA*, PDB5+5+5, 2.000000, 15puzzle, "9 0 4 10 1 14 15 3 12 6 5 7 11 13 8 2 ", 59, 70, 12675, 0.002015, 6.29032e+06
X, WIDA*, PDB5+5+5, 2.000000, 15puzzle, "11 5 1 14 4 12 10 0 2 7 13 3 9 15 6 8 ", 68, 76, 8889, 0.002325, 3.82323e+06
X, WIDA*, PDB5+5+5, 2.000000, 15puzzle, "4 5 7 2 9 14 12 13 0 3 6 11 8 1 15 10 ", 60, 64, 5154, 0.000923, 5.58397e+06
X, WIDA*, PDB5+5+5, 2.000000, 15puzzle, "8 13 10 9 11 3 15 6 0 1 2 14 12 5 4 7 ", 68, 76, 90169, 0.012946, 6.96501e+06
X, WIDA*, PDB5+5+5, 2.000000, 15puzzle, "11 15 14 13 1 9 10 4 3 6 2 12 7 5 8 0 ", 92, 96, 43550, 0.007677, 5.67279e+06
X, WIDA*, PDB5+5+5, 2.000000, 15puzzle, "3 14 9 7 12 15 0 4 1 8 5 6 11 10 2 13 ", 69, 78, 71280, 0.011782, 6.04991e+06
X, WIDA*, PDB5+5+5, 2.000000, 15puzzle, "12 9 0 6 8 3 5 14 2 4 11 7 10 1 15 13 ", 64, 68, 96154, 0.014323, 6.71326e+06
X, WIDA*, PDB5+5+5, 2.000000, 15puzzle, "8 11 4 6 7 3 10 9 2 12 15 13 0 1 5 14 ", 73, 82, 4498, 0.000713, 6.30856e+06
X, WIDA*, PDB5+5+5, 2.000000, 15puzzle, "6 10 1 14 15 8 3 5 13 0 2 7 4 9 11 12 ", 67, 74, 13596, 0.002361, 5.75858e+06
X, WIDA*, PDB5+5+5, 2.000000, 15puzzle, "8 4 6 1 14 12 2 15 13 10 9 5 3 7 0 11 ", 61, 70, 48881, 0.008335, 5.86455e+06
X, WIDA*, PDB5+5+5, 2.000000, 15puzzle, "10 2 8 4 15 0 1 14 11 13 3 6 9 7 5 12 ", 82, 88, 18674, 0.002792, 6.68840e+06
X, WIDA*, PDB5+5+5, 2.000000, 15puzzle, "10 0 2 4 5 1 6 12 11 13 9 7 15 3 14 8 ", 69, 78, 43077, 0.006961, 6.18834e+06
X, WIDA*, PDB5+5+5, 2.000000, 15puzzle, "12 5 13 11 2 10 0 9 7 8 4 3 14 6 15 1 ", 71, 82, 76886, 0.011331, 6.78546e+06
X, WIDA*, PDB5+5+5, 2.000000, 15puzzle, "14 9 12 13 15 4 8 10 0 2 1 7 3 11 5 6 ", 98, 104, 54363, 0.008597, 6.32348e+06
X, WIDA*, PDB5+5+5, 2.000000, 15puzzle, "12 11 0 8 10 2 13 15 5 4 7 3 6 9 14 1 ", 74, 84, 53785, 0.008400, 6.40298e+06
X, WIDA*, PDB5+5+5, 2.000000, 15puzzle, "10 8 0 12 3 7 6 2 1 14 4 11 15 13 9 5 ", 82, 88, 115762, 0.017867, 6.47910e+06
X, WIDA*, PDB5+5+5, 2.000000, 15puzzle, "13 8 14 3 9 1 0 7 15 5 4 10 12 2 6 11 ", 49, 58, 18631, 0.003420, 5.44766e+06
X, WIDA*, PDB5+5+5, 2.000000, 15puzzle, "5 11 6 9 4 13 12 0 8 2 15 10 1 7 3 14 ", 70, 76, 8343, 0.001456, 5.73008e+06
X, WIDA*, PDB5+5+5, 2.000000, 15puzzle, "3 15 2 5 11 6 4 7 12 9 1 0 13 14 10 8 ", 59, 58, 558490, 0.082476, 6.77155e+06
X, WIDA*, PDB5+5+5, 2.000000, 15puzzle, "5 0 15 8 4 6 1 14 10 11 3 9 7 12 2 13 ", 71, 74, 8770, 0.002082, 4.21230e+06
X, WIDA*, PDB5+5+5, 2.000000, 15puzzle, "15 14 6 7 10 1 0 11 12 8 4 9 2 5 13 3 ", 69, 78, 20175, 0.003246, 6.21534e+06
X, WIDA*, PDB5+5+5, 2.000000, 15puzzle, "11 14 13 1 2 3 12 4 15 7 9 5 10 6 8 0 ", 92, 96, 111020, 0.016304, 6.80937e+06
X, WIDA*, PDB5+5+5, 2.000000, 15puzzle, "6 13 3 2 11 9 5 10 1 7 12 14 8 4 0 15 ", 59, 66, 742, 0.000228, 3.25439e+06
