grupo, algorithm, heuristic, domain, instance, cost, h0, generated, time, gen_per_sec
X, IDA*, manhattan, 15Puzzle, "9 5 11 10 13 0 2 1 8 6 14 12 4 7 3 15 ", 52, 34, 55356673, 2.530746, 2.18737e+07
X, IDA*, manhattan, 15Puzzle, "5 4 7 1 11 12 14 15 10 13 8 6 2 0 9 3 ", 50, 36, 7914342, 0.375992, 2.10492e+07
X, IDA*, manhattan, 15Puzzle, "11 1 7 4 10 13 3 8 9 14 0 15 6 5 2 12 ", 54, 38, 93257600, 4.307153, 2.16518e+07
X, IDA*, manhattan, 15Puzzle, "15 2 12 11 14 13 9 5 1 3 8 7 0 10 6 4 ", 65, 43, 6329954123, 286.977500, 2.20573e+07
X, IDA*, manhattan, 15Puzzle, "13 9 14 6 12 8 1 2 3 4 0 7 5 10 11 15 ", 46, 34, 1957039, 0.095023, 2.05954e+07
X, IDA*, manhattan, 15Puzzle, "9 7 5 2 14 15 12 10 11 3 6 1 8 13 0 4 ", 57, 41, 508755899, 23.361325, 2.17777e+07
X, IDA*, manhattan, 15Puzzle, "3 2 7 9 0 15 12 4 6 11 5 14 8 13 10 1 ", 57, 37, 1104675123, 50.630209, 2.18185e+07
X, IDA*, manhattan, 15Puzzle, "5 7 11 8 0 14 9 13 10 12 3 15 6 1 4 2 ", 53, 45, 1290728, 0.060974, 2.11685e+07
X, IDA*, manhattan, 15Puzzle, "4 3 6 13 7 15 9 0 10 5 8 11 2 12 1 14 ", 50, 34, 5973096, 0.278789, 2.14251e+07
X, IDA*, manhattan, 15Puzzle, "1 7 15 14 2 6 4 9 12 11 13 3 0 8 5 10 ", 49, 35, 15683110, 0.704349, 2.22661e+07
X, IDA*, manhattan, 15Puzzle, "9 14 5 7 8 15 1 2 10 4 13 6 12 0 11 3 ", 44, 32, 900586, 0.042398, 2.12412e+07
X, IDA*, manhattan, 15Puzzle, "7 15 4 0 10 9 2 5 12 11 13 6 1 3 14 8 ", 57, 39, 123103928, 5.744252, 2.14308e+07
X, IDA*, manhattan, 15Puzzle, "0 11 3 12 5 2 1 9 8 10 14 15 7 4 13 6 ", 54, 34, 168133302, 7.755869, 2.16782e+07
X, IDA*, manhattan, 15Puzzle, "11 4 0 8 6 10 5 13 12 7 14 3 1 2 9 15 ", 54, 38, 38527117, 1.767550, 2.17969e+07
