grupo, algorithm, heuristic, domain, instance, cost, h0, generated, time, gen_per_sec
X, A*, manhattan, 15puzzle, "3 14 9 7 12 15 0 4 1 8 5 6 11 10 2 13 ", 51, 39, 3461700, 0.854210, 4.05252e+06
X, A*, manhattan, 15puzzle, "12 9 0 6 8 3 5 14 2 4 11 7 10 1 15 13 ", 50, 32, 7838222, 1.900926, 4.12337e+06
X, A*, manhattan, 15puzzle, "11 15 14 13 1 9 10 4 3 6 2 12 7 5 8 0 ", 64, 48, 27103502, 6.859635, 3.95116e+06
X, A*, manhattan, 15puzzle, "6 10 1 14 15 8 3 5 13 0 2 7 4 9 11 12 ", 47, 35, 549541, 0.121685, 4.51609e+06
X, A*, manhattan, 15puzzle, "8 11 4 6 7 3 10 9 2 12 15 13 0 1 5 14 ", 49, 39, 880965, 0.200710, 4.38924e+06
X, A*, manhattan, 15puzzle, "8 4 6 1 14 12 2 15 13 10 9 5 3 7 0 11 ", 49, 35, 6106012, 1.387738, 4.39997e+06
X, A*, manhattan, 15puzzle, "12 5 13 11 2 10 0 9 7 8 4 3 14 6 15 1 ", 53, 39, 10418310, 2.562824, 4.06517e+06
X, A*, manhattan, 15puzzle, "10 2 8 4 15 0 1 14 11 13 3 6 9 7 5 12 ", 56, 44, 12551968, 2.990069, 4.19789e+06
X, A*, manhattan, 15puzzle, "10 0 2 4 5 1 6 12 11 13 9 7 15 3 14 8 ", na, 33, na, na, na
X, A*, manhattan, 15puzzle, "12 11 0 8 10 2 13 15 5 4 7 3 6 9 14 1 ", 56, 40, 18343378, 4.749874, 3.86187e+06
X, A*, manhattan, 15puzzle, "10 8 0 12 3 7 6 2 1 14 4 11 15 13 9 5 ", 56, 38, 36770559, 9.426130, 3.90092e+06
X, A*, manhattan, 15puzzle, "14 9 12 13 15 4 8 10 0 2 1 7 3 11 5 6 ", na, 50, na, na, na
X, A*, manhattan, 15puzzle, "13 8 14 3 9 1 0 7 15 5 4 10 12 2 6 11 ", 41, 29, 390420, 0.077340, 5.04810e+06
X, A*, manhattan, 15puzzle, "5 11 6 9 4 13 12 0 8 2 15 10 1 7 3 14 ", 50, 36, 3335956, 0.810026, 4.11833e+06
X, A*, manhattan, 15puzzle, "3 15 2 5 11 6 4 7 12 9 1 0 13 14 10 8 ", na, 29, na, na, na
X, A*, manhattan, 15puzzle, "5 0 15 8 4 6 1 14 10 11 3 9 7 12 2 13 ", 51, 37, 2853165, 0.700775, 4.07144e+06
X, A*, manhattan, 15puzzle, "11 14 13 1 2 3 12 4 15 7 9 5 10 6 8 0 ", na, 48, na, na, na
X, A*, manhattan, 15puzzle, "15 14 6 7 10 1 0 11 12 8 4 9 2 5 13 3 ", na, 35, na, na, na
X, A*, manhattan, 15puzzle, "6 13 3 2 11 9 5 10 1 7 12 14 8 4 0 15 ", 45, 31, 2754434, 0.657839, 4.18709e+06
X, A*, manhattan, 15puzzle, "4 6 12 0 14 2 9 13 11 8 3 15 7 10 1 5 ", 57, 43, 15445524, 4.031707, 3.83101e+06
X, A*, manhattan, 15puzzle, "8 10 9 11 14 1 7 15 13 4 0 12 6 2 5 3 ", na, 40, na, na, na
