X, A*, manhattan, 15Puzzle, "8 1 7 12 11 0 10 5 9 15 6 13 14 2 3 4 ", 58, 68220353, 68.857698, 9.90744e+05
X, A*, manhattan, 15Puzzle, "4 5 7 2 9 14 12 13 0 3 6 11 8 1 15 10 ", 42, 402793, 0.320064, 1.25848e+06
X, A*, manhattan, 15Puzzle, "8 13 10 9 11 3 15 6 0 1 2 14 12 5 4 7 ", 54, 28964190, 27.972806, 1.03544e+06
X, A*, manhattan, 15Puzzle, "11 5 1 14 4 12 10 0 2 7 13 3 9 15 6 8 ", 54, 31808002, 31.132307, 1.02170e+06
X, A*, manhattan, 15Puzzle, "3 14 9 7 12 15 0 4 1 8 5 6 11 10 2 13 ", 51, 3747124, 3.455529, 1.08439e+06
X, A*, manhattan, 15Puzzle, "12 9 0 6 8 3 5 14 2 4 11 7 10 1 15 13 ", 50, 15953299, 15.324464, 1.04103e+06
X, A*, manhattan, 15Puzzle, "11 15 14 13 1 9 10 4 3 6 2 12 7 5 8 0 ", 64, 28910950, 26.685607, 1.08339e+06
X, A*, manhattan, 15Puzzle, "8 11 4 6 7 3 10 9 2 12 15 13 0 1 5 14 ", 49, 1705525, 1.460854, 1.16748e+06
X, A*, manhattan, 15Puzzle, "6 10 1 14 15 8 3 5 13 0 2 7 4 9 11 12 ", 47, 1761633, 1.521008, 1.15820e+06
X, A*, manhattan, 15Puzzle, "8 4 6 1 14 12 2 15 13 10 9 5 3 7 0 11 ", 49, 12358915, 11.646361, 1.06118e+06
X, A*, manhattan, 15Puzzle, "12 5 13 11 2 10 0 9 7 8 4 3 14 6 15 1 ", 53, 7788996, 7.093254, 1.09809e+06
X, A*, manhattan, 15Puzzle, "10 2 8 4 15 0 1 14 11 13 3 6 9 7 5 12 ", 56, 14672177, 13.527496, 1.08462e+06
X, A*, manhattan, 15Puzzle, "10 0 2 4 5 1 6 12 11 13 9 7 15 3 14 8 ", na, na, na, na
X, A*, manhattan, 15Puzzle, "12 11 0 8 10 2 13 15 5 4 7 3 6 9 14 1 ", 56, 51431937, 51.806740, 9.92765e+05
