X, dfid, 11puzzle, "2 5 0 9 11 8 1 7 6 3 10 4 ", na, na, na, na
X, dfid, 11puzzle, "1 4 2 3 5 8 6 10 7 9 0 11 ", 6, 486, 0.000038, 1.27895e+07
X, dfid, 11puzzle, "1 2 5 3 4 8 7 9 11 6 0 10 ", 10, 8025, 0.000505, 1.58911e+07
X, dfid, 11puzzle, "3 5 0 7 2 1 4 6 8 9 10 11 ", 12, 17306, 0.000862, 2.00766e+07
X, dfid, 11puzzle, "1 2 5 3 4 8 7 11 0 6 9 10 ", 10, 5609, 0.000235, 2.38681e+07
X, dfid, 11puzzle, "3 1 2 4 7 5 6 10 8 9 0 11 ", 4, 150, 0.000014, 1.07143e+07
X, dfid, 11puzzle, "1 5 4 3 0 2 6 7 10 9 11 8 ", 12, 33132, 0.001308, 2.53303e+07
X, dfid, 11puzzle, "1 4 2 10 3 5 0 6 8 9 7 11 ", 14, 101574, 0.003969, 2.55918e+07
X, dfid, 11puzzle, "5 3 4 1 2 8 6 7 11 9 0 10 ", 14, 76350, 0.002965, 2.57504e+07
X, dfid, 11puzzle, "1 2 5 11 0 4 7 3 10 6 9 8 ", 18, 1579909, 0.056471, 2.79774e+07
X, dfid, 11puzzle, "3 6 2 1 7 5 9 4 8 10 0 11 ", 20, 4410618, 0.168400, 2.61913e+07
X, dfid, 11puzzle, "5 1 0 3 4 2 8 6 7 9 10 11 ", 20, 5072808, 0.198897, 2.55047e+07
X, dfid, 11puzzle, "3 2 7 6 0 4 5 10 8 9 11 1 ", 22, 19382209, 0.754652, 2.56836e+07
X, dfid, 11puzzle, "3 1 2 11 7 5 9 10 0 6 4 8 ", 24, 54090216, 1.513414, 3.57405e+07
X, dfid, 11puzzle, "4 2 5 8 6 3 7 11 0 9 1 10 ", 24, 72293248, 1.958348, 3.69154e+07
X, dfid, 11puzzle, "1 4 8 2 10 5 7 9 6 3 0 11 ", 24, 82573631, 2.279063, 3.62314e+07
X, dfid, 11puzzle, "3 5 0 4 7 8 6 1 2 9 11 10 ", 26, 282212847, 7.559966, 3.73299e+07
X, dfid, 11puzzle, "1 2 5 6 3 4 7 10 8 9 0 11 ", 8, 1990, 0.000156, 1.27564e+07
X, dfid, 11puzzle, "1 4 2 3 0 5 10 7 8 6 9 11 ", 8, 2947, 0.000123, 2.39593e+07
X, dfid, 11puzzle, "4 3 2 6 0 8 5 1 7 9 10 11 ", 12, 40288, 0.001115, 3.61327e+07
X, dfid, 11puzzle, "3 1 2 4 7 5 0 6 8 9 10 11 ", 4, 107, 0.000012, 8.91667e+06
X, dfid, 11puzzle, "3 2 0 6 1 5 10 4 8 7 9 11 ", 10, 5611, 0.000234, 2.39786e+07
X, dfid, 11puzzle, "3 2 5 4 1 8 6 7 11 9 0 10 ", 8, 1511, 0.000073, 2.06986e+07
X, dfid, 11puzzle, "1 2 0 3 6 5 7 8 11 4 9 10 ", 16, 233397, 0.008234, 2.83455e+07
X, dfid, 11puzzle, "3 1 2 6 0 5 10 4 11 8 9 7 ", 14, 160125, 0.006232, 2.56940e+07
X, dfid, 11puzzle, "1 4 2 3 7 5 6 10 8 9 0 11 ", 4, 158, 0.000016, 9.87500e+06
X, dfid, 11puzzle, "4 3 2 1 7 5 0 11 10 6 9 8 ", 14, 130960, 0.005102, 2.56684e+07
X, dfid, 11puzzle, "3 1 2 7 6 8 5 4 11 9 0 10 ", 14, 66774, 0.002612, 2.55643e+07
X, dfid, 11puzzle, "5 3 8 1 0 11 6 2 4 9 7 10 ", 18, 1815460, 0.052114, 3.48363e+07
X, dfid, 11puzzle, "5 6 1 3 0 8 9 2 4 10 7 11 ", 18, 1811069, 0.070399, 2.57258e+07
X, dfid, 11puzzle, "8 1 2 3 0 4 10 5 7 6 9 11 ", 20, 4364125, 0.167160, 2.61075e+07
X, dfid, 11puzzle, "7 6 4 10 1 2 9 3 5 11 0 8 ", 22, 17518466, 0.476473, 3.67670e+07
X, dfid, 11puzzle, "5 8 2 3 6 1 4 11 0 9 7 10 ", 22, 17556319, 0.513948, 3.41597e+07
X, dfid, 11puzzle, "4 2 1 3 0 10 6 5 11 7 9 8 ", 24, 98879110, 2.581383, 3.83047e+07
X, dfid, 11puzzle, "1 2 0 3 4 5 6 7 8 9 10 11 ", 2, 13, 0.000003, 4.33333e+06
